epoch,acc,loss
0,0.3333333432674408,1.3785853385925293
1,0.3333333432674408,1.0236232280731201
2,0.6666666865348816,0.7343922257423401
3,0.6666666865348816,0.5659475922584534
4,1.0,0.4169215261936188
5,1.0,0.30632010102272034
6,1.0,0.2728596031665802
7,1.0,0.2497297078371048
8,1.0,0.22007985413074493
9,1.0,0.19952023029327393
10,1.0,0.1721993237733841
11,1.0,0.12039858102798462
12,1.0,0.10749885439872742
13,1.0,0.09884295612573624
14,1.0,0.08935260772705078
15,1.0,0.0709720179438591
16,1.0,0.06604406237602234
17,1.0,0.060554105788469315
18,1.0,0.055714309215545654
19,1.0,0.049261074513196945
20,1.0,0.045884449034929276
21,1.0,0.04413728788495064
22,1.0,0.043050412088632584
23,1.0,0.042290568351745605
24,1.0,0.04151162505149841
25,1.0,0.040717776864767075
26,1.0,0.04007356986403465
27,1.0,0.039285335689783096
28,1.0,0.038587234914302826
29,1.0,0.03778752684593201
30,1.0,0.03704044595360756
31,1.0,0.036312300711870193
32,1.0,0.035591427236795425
33,1.0,0.03484353795647621
34,1.0,0.03411228582262993
35,1.0,0.033472612500190735
36,1.0,0.03285837918519974
37,1.0,0.0322798527777195
38,1.0,0.031701892614364624
39,1.0,0.031167129054665565
40,1.0,0.03062630631029606
41,1.0,0.03014279156923294
42,1.0,0.029682623222470284
43,1.0,0.029347628355026245
44,1.0,0.029027745127677917
45,1.0,0.028715888038277626
46,1.0,0.028424078598618507
47,1.0,0.028147606179118156
48,1.0,0.02788887731730938
49,1.0,0.027623603120446205
